region_eng,region_ua,grp_2004,grp_2005,grp_2006
Ukraine,Україна,345113,441452,544153
Crimea,"Автономна
 Республіка Крим",9901,12848,16044
Vinnytsya,Вінницька,8123,10207,12414
Volyn,Волинська,4994,6553,7687
Dnipropetrovs'k,Дніпропетровська,30040,41227,52347
Donets'k,Донецька,45617,58044,72361
Zhytomyr,Житомирська,5947,7430,8784
Transcarpathia,Закарпатська,5297,6700,8185
Zaporizhzhya,Запорізька,15255,19968,24787
Ivano-Frankivs'k,Івано-Франківська,7311,9622,11316
Kiev,Київська,11883,15362,19188
Kirovohrad,Кіровоградська,5594,6877,8187
Luhans'k,Луганська,14672,19716,24159
L'viv,Львівська,13992,17192,21486
Mykolayiv,Миколаївська,7934,9553,11876
Odessa,Одеська,17029,20762,24898
Poltava,Полтавська,13983,18099,22179
Rivne,Рівненська,5599,7263,8924
Sumy,Сумська,6275,8025,9566
Ternopil',Тернопільська,3948,5137,6452
Kharkiv,Харківська,20524,25618,32023
Kherson,Херсонська,5200,6469,7565
Khmel'nyts'kyy,Хмельницька,6344,7958,9603
Cherkasy,Черкаська,6623,9014,10957
Chernivtsi,Чернівецька,3277,4234,5126
Chernihiv,Чернігівська,6181,7627,8950
Kiev City,м.Київ,61357,77124,95267