region_eng,region_ua,income_2004,income_2005,income_2006,disposable_income_2004,disposable_income_2005,disposable_income_2006,spendings_2004,spendings_2005,spendings_2006
Ukraine,Україна,274241,381404,472061,212033,298275,363586,242607,335753,427858
Crimea,Автономна Республіка Крим,10022,13883,16834,7676,10806,13006,9834,13521,17270
Vinnytsya,Вінницька,8747,12193,14788,7016,9908,11825,6605,9306,12040
Volyn,Волинська,4941,6808,8414,3904,5478,6638,4409,6070,7796
Dnipropetrovs'k,Дніпропетровська,22241,31344,38694,17124,24287,29652,19578,26711,32594
Donets'k,Донецька,29497,40753,50947,23407,32945,40752,20764,28840,38826
Zhytomyr,Житомирська,6867,9418,11472,5390,7449,8940,5188,7149,9113
Transcarpathia,Закарпатська,5451,7504,9134,4305,6012,7166,5630,7538,8827
Zaporizhzhya,Запорізька,11807,16360,20148,9414,13223,16118,10690,14602,17246
Ivano-Frankivs'k,Івано-Франківська,6545,9120,11232,5276,7404,8966,4739,6559,8751
Kiev,Київська,9929,13824,17424,7908,11168,13978,7658,10383,14269
Kirovohrad,Кіровоградська,5372,7451,8991,4243,5989,7073,4502,6141,7569
Luhans'k,Луганська,12885,17860,22042,10167,14308,17591,9112,12429,15803
L'viv,Львівська,14352,19823,23804,11400,16020,19025,12540,17132,20589
Mykolayiv,Миколаївська,6754,9301,11246,5378,7516,8897,5456,7347,9518
Odessa,Одеська,13467,18558,22457,10228,14173,16807,13428,18706,23808
Poltava,Полтавська,9260,12831,15573,7407,10404,12481,7151,9754,12272
Rivne,Рівненська,5675,7821,9656,4403,6192,7557,4930,6614,8030
Sumy,Сумська,6531,9114,11281,5188,7376,9092,4962,6854,8398
Ternopil',Тернопільська,4942,6969,8708,3958,5616,6967,3686,5046,6613
Kharkiv,Харківська,16524,22926,28188,12829,18042,22056,17510,23902,28373
Kherson,Херсонська,5480,7664,9281,4338,6115,7283,4716,6411,8163
Khmel'nyts'kyy,Хмельницька,7059,9868,11967,5612,7916,9494,6295,8486,10305
Cherkasy,Черкаська,6744,9392,11589,5300,7467,9070,5396,7541,10013
Chernivtsi,Чернівецька,4145,5776,7010,3294,4620,5514,3801,5187,6396
Chernihiv,Чернігівська,6303,8650,10433,5063,7044,8355,4748,6379,8141
Kiev City,м.Київ,30594,43348,57307,20224,28629,36708,36996,53970,73024